Selection,Scenario name,vehYear,vehPtType,dragCoef,frontalAreaM2,gliderKg,vehCgM,driveAxleWeightFrac,wheelBaseM,cargoKg,vehOverrideKg,maxFuelStorKw,fuelStorSecsToPeakPwr,fuelStorKwh,fuelStorKwhPerKg,maxFuelConvKw,fcEffMap,fcEffType,fuelConvSecsToPeakPwr,fuelConvBaseKg,fuelConvKwPerKg,mcPwrOutPerc,maxMotorKw,motorSecsToPeakPwr,stopStart,mcPeKgPerKw,mcPeBaseKg,maxEssKw,maxEssKwh,essKgPerKwh,essBaseKg,essRoundTripEff,essLifeCoefA,essLifeCoefB,wheelInertiaKgM2,numWheels,wheelRrCoef,wheelRadiusM,wheelCoefOfFric,minSoc,maxSoc,essDischgToFcMaxEffPerc,essChgToFcMaxEffPerc,maxAccelBufferMph,maxAccelBufferPercOfUseableSoc,percHighAccBuf,mphFcOn,kwDemandFcOn,altEff,chgEff,auxKw,forceAuxOnFC,transKg,transEff,compMassMultiplier,essToFuelOkError,maxRegen,valUddsMpgge,valHwyMpgge,valCombMpgge,valUddsKwhPerMile,valHwyKwhPerMile,valCombKwhPerMile,valCdRangeMi,valConst65MphKwhPerMile,valConst60MphKwhPerMile,valConst55MphKwhPerMile,valConst45MphKwhPerMile,valUnadjUddsKwhPerMile,valUnadjHwyKwhPerMile,val0To60Mph,valEssLifeMiles,valRangeMiles,valVehBaseCost,valMsrp,minFcTimeOn,idleFcKw,mcEffMap
1,2022 Kia EV6 RWD (Standard Range),2022,BEV,0.346855555,2.467298291,0,-0.53,0.59,2.6,0,1927.766,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",125,4,False,0.833,21.6,137.5,58.0,8,75,0.97,110,-0.6811,0.815,4,0.006020932,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
2,2022 Tesla Model S,2022,BEV,0.260552185,2.414357107,0,-0.53,0.59,2.6,0,2154.562,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",500,4,False,0.833,21.6,550.0,100.0,8,75,0.97,110,-0.6811,0.815,4,0.007541808,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
3,2022 Mazda MX-30,2022,BEV,0.389905482,2.384409747,0,-0.53,0.59,2.6,0,1814.368,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",107,4,False,0.833,21.6,117.7,35.5,8,75,0.97,110,-0.6811,0.815,4,0.008916296,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
4,2022 BMW iX xDrive50 (20 inch wheels),2022,BEV,0.289833225,2.835331104,0,-0.53,0.59,2.6,0,2721.552,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",422,4,False,0.833,21.6,464.2,111.5,8,75,0.97,110,-0.6811,0.815,4,0.00766765,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
5,2022 Kia Niro Electric,2022,BEV,0.317190195,2.409597116,0,-0.53,0.59,2.6,0,1927.766,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",150,4,False,0.833,21.6,165.0,64.0,8,75,0.97,110,-0.6811,0.815,4,0.006901521,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
6,2022 Nissan Leaf SV/SL (62 kW-hr battery pack),2022,BEV,0.365261902,2.396995206,0,-0.53,0.59,2.6,0,1927.766,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",160,4,False,0.833,21.6,176.0,62.0,8,75,0.97,110,-0.6811,0.815,4,0.008234239,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
7,2022 Porsche Taycan GTS,2022,BEV,0.323456556,2.307745385,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",510,4,False,0.833,21.6,561.0,93.4,8,75,0.97,110,-0.6811,0.815,4,0.008154891,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
8,2022 BMW i4 M50 Gran Coupe (19 inch wheels),2022,BEV,0.290630542,2.278708346,0,-0.53,0.59,2.6,0,2381.358,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",420,4,False,0.833,21.6,462.0,83.9,8,75,0.97,110,-0.6811,0.815,4,0.008431297,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
9,2022 Audi Q4 e-tron quattro,2022,BEV,0.311411642,2.604274146,0,-0.53,0.59,2.6,0,2381.358,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",230,4,False,0.833,21.6,253.0,82.0,8,75,0.97,110,-0.6811,0.815,4,0.007126062,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
10,2022 Ford F-150 Lightning 4WD,2022,BEV,0.425891383,3.435089904,0,-0.53,0.59,2.6,0,2948.348,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",337,4,False,0.833,21.6,370.7,98.0,8,75,0.97,110,-0.6811,0.815,4,0.006684057,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
11,2022 Tesla Model X Plaid (22 inch wheels),2022,BEV,0.286527494,2.852742359,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",758,4,False,0.833,21.6,833.8,100.0,8,75,0.97,110,-0.6811,0.815,4,0.009275267,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
12,2022 BMW iX xDrive50 (21 inch wheels),2022,BEV,0.303935643,2.856553642,0,-0.53,0.59,2.6,0,2721.552,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",422,4,False,0.833,21.6,464.2,111.5,8,75,0.97,110,-0.6811,0.815,4,0.008393913,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
13,2022 Porsche Taycan Perf Battery,2022,BEV,0.29258315,2.35570174,0,-0.53,0.59,2.6,0,2267.96,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",300,4,False,0.833,21.6,330.0,79.0,8,75,0.97,110,-0.6811,0.815,4,0.008977499,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
14,2022 Tesla Model 3 Long Range AWD,2022,BEV,0.259812742,2.267598045,0,-0.53,0.59,2.6,0,1927.766,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",329,4,False,0.833,21.6,361.9,82.0,8,75,0.97,110,-0.6811,0.815,4,0.008472984,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
15,2022 Porsche Taycan 4 Cross Turismo,2022,BEV,0.34201855,2.35570174,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",350,4,False,0.833,21.6,385.0,93.4,8,75,0.97,110,-0.6811,0.815,4,0.008899794,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
16,2022 Polestar 2 Dual Motor,2022,BEV,0.303982504,2.336255973,0,-0.53,0.59,2.6,0,2267.96,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",304,4,False,0.833,21.6,334.4,78.0,8,75,0.97,110,-0.6811,0.815,4,0.007492418,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
17,2022 Tesla Model Y Performance AWD,2022,BEV,0.254212968,2.653310822,0,-0.53,0.59,2.6,0,2154.562,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",342,4,False,0.833,21.6,376.2,78.0,8,75,0.97,110,-0.6811,0.815,4,0.010055692,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
18,2022 Tesla Model S Plaid (21 inch wheels),2022,BEV,0.26858391,2.414357107,0,-0.53,0.59,2.6,0,2267.96,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",758,4,False,0.833,21.6,833.8,100.0,8,75,0.97,110,-0.6811,0.815,4,0.010178808,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
19,2022 Nissan Leaf (40 kW-hr battery pack),2022,BEV,0.372012255,2.373798478,0,-0.53,0.59,2.6,0,1757.669,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",110,4,False,0.833,21.6,121.0,40.0,8,75,0.97,110,-0.6811,0.815,4,0.007982609,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
